target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc	description of target
DNA_pol_A	PF00476.20	376	TARA_ION_MAG_00012_000000000001_16	-	974	1.6e-134	448.7	0.3	1	1	6.5e-138	2.9e-134	447.8	0.3	3	375	579	970	577	971	0.96	DNA polymerase family A
5_3_exonuc_N	PF02739.16	159	TARA_ION_MAG_00012_000000000001_16	-	974	6.3e-44	149.7	0.0	1	1	2.4e-47	1.1e-43	148.9	0.0	2	159	11	188	10	188	0.92	5'-3' exonuclease, N-terminal resolvase-like domain
DNA_pol_A_exo1	PF01612.20	176	TARA_ION_MAG_00012_000000000001_16	-	974	1.1e-29	103.3	0.1	1	1	1.7e-32	7.6e-29	100.7	0.1	1	172	358	541	358	545	0.92	3'-5' exonuclease
5_3_exonuc	PF01367.20	97	TARA_ION_MAG_00012_000000000001_16	-	974	3.3e-26	91.7	0.7	1	1	3.8e-29	1.7e-25	89.4	0.7	1	84	189	283	189	296	0.84	5'-3' exonuclease, C-terminal SAM fold
HlyD_3	PF13437.6	106	TARA_ION_MAG_00012_000000000001_17	-	354	1.3e-12	48.4	0.3	1	1	2.2e-14	1e-10	42.3	0.2	2	94	163	262	162	273	0.89	HlyD family secretion protein
HlyD	PF00529.20	80	TARA_ION_MAG_00012_000000000001_17	-	354	6.8e-08	32.3	0.0	1	1	9.8e-11	4.4e-07	29.7	0.0	12	51	31	283	11	343	0.66	HlyD membrane-fusion protein of T1SS
YchF-GTPase_C	PF06071.13	84	TARA_ION_MAG_00012_000000000001_18	-	364	1e-37	128.2	0.4	1	1	8.1e-41	4.8e-37	126.0	0.0	1	84	279	362	279	362	0.99	Protein of unknown function (DUF933)
MMR_HSR1	PF01926.23	114	TARA_ION_MAG_00012_000000000001_18	-	364	5.1e-24	84.6	0.0	1	1	2.2e-27	1.3e-23	83.2	0.0	2	87	4	116	3	155	0.81	50S ribosome-binding GTPase
CP_ATPgrasp_2	PF14403.6	375	TARA_ION_MAG_00012_000000000001_20	-	478	1.1e-153	511.6	0.0	1	1	1.5e-157	1.4e-153	511.3	0.0	1	375	79	453	79	453	0.98	Circularly permuted ATP-grasp type 2
CP_ATPgrasp_1	PF04174.13	332	TARA_ION_MAG_00012_000000000001_20	-	478	1.6e-132	441.6	0.0	1	1	2.1e-136	1.9e-132	441.3	0.0	1	332	79	409	79	409	0.99	A circularly permuted ATPgrasp
Alpha-E	PF04168.12	293	TARA_ION_MAG_00012_000000000001_21	-	333	2.5e-92	309.8	0.3	1	1	1.6e-96	2.9e-92	309.6	0.3	1	293	14	323	14	323	0.94	A predicted alpha-helical domain with a conserved ER motif.
Transglut_core	PF01841.19	112	TARA_ION_MAG_00012_000000000001_22	-	285	6.5e-21	74.9	0.0	1	1	1.1e-24	9.9e-21	74.3	0.0	7	112	135	235	129	235	0.89	Transglutaminase-like superfamily
SpoU_methylase	PF00588.19	142	TARA_ION_MAG_00012_000000000002_2	-	166	2.4e-28	99.1	0.0	1	1	3.7e-32	6.6e-28	97.7	0.0	4	142	3	148	1	148	0.90	SpoU rRNA Methylase family
CobU	PF02283.16	169	TARA_ION_MAG_00012_000000000002_3	-	176	2.9e-41	140.8	0.0	1	1	1.9e-45	3.3e-41	140.7	0.0	2	169	6	166	5	166	0.95	Cobinamide kinase / cobinamide phosphate guanyltransferase
CCB2_CCB4	PF11152.8	196	TARA_ION_MAG_00012_000000000002_5	-	209	6.5e-59	198.6	0.0	1	1	4.2e-63	7.6e-59	198.3	0.0	3	196	9	199	8	199	0.99	Cofactor assembly of complex C subunit B, CCB2/CCB4
tRNA-synt_1g	PF09334.11	391	TARA_ION_MAG_00012_000000000002_7	-	512	2.1e-108	362.6	0.1	2	2	5.7e-66	2.6e-62	210.8	0.0	164	390	138	360	132	361	0.95	tRNA synthetases class I (M)
RNB	PF00773.19	326	TARA_ION_MAG_00012_000000000002_8	-	285	5e-21	75.4	5.6	1	1	7.1e-24	1.3e-19	70.7	5.6	114	324	2	176	1	178	0.82	RNB domain
Tubulin	PF00091.25	197	TARA_ION_MAG_00012_000000000003_1	-	371	1.6e-42	146.0	1.7	1	1	2.6e-46	2.3e-42	145.4	0.8	2	196	23	182	22	183	0.97	Tubulin/FtsZ family, GTPase domain
FtsZ_C	PF12327.8	95	TARA_ION_MAG_00012_000000000003_1	-	371	1.2e-32	112.1	4.6	1	1	2.8e-36	2.5e-32	111.0	3.6	1	95	230	325	230	325	0.99	FtsZ family, C-terminal domain
Dala_Dala_lig_C	PF07478.13	204	TARA_ION_MAG_00012_000000000003_4	-	355	6.4e-64	215.3	0.0	1	1	1.6e-67	9.3e-64	214.7	0.0	2	204	145	349	144	349	0.94	D-ala D-ala ligase C-terminus
Dala_Dala_lig_N	PF01820.21	103	TARA_ION_MAG_00012_000000000003_4	-	355	5.8e-24	84.5	0.0	1	1	2.1e-27	1.2e-23	83.5	0.0	2	103	9	127	8	127	0.83	D-ala D-ala ligase N-terminus
UPF0004	PF00919.20	98	TARA_ION_MAG_00012_000000000003_5	-	466	2.1e-29	101.4	0.0	1	1	7.5e-33	4.5e-29	100.4	0.0	3	98	23	120	21	120	0.95	Uncharacterized protein family UPF0004
Radical_SAM	PF04055.21	167	TARA_ION_MAG_00012_000000000003_5	-	466	1.1e-26	94.2	0.2	1	1	4.3e-30	2.5e-26	93.0	0.1	2	167	166	344	165	344	0.90	Radical SAM superfamily
Amidohydro_3	PF07969.11	473	TARA_ION_MAG_00012_000000000003_6	-	410	1.8e-11	44.2	0.0	1	1	5e-14	8.9e-10	38.6	0.0	265	446	202	384	139	394	0.81	Amidohydrolase family
FAD_binding_4	PF01565.23	139	TARA_ION_MAG_00012_000000000003_7	-	452	9.5e-31	106.4	0.0	1	1	1.5e-34	2.6e-30	105.0	0.0	2	132	51	184	50	189	0.96	FAD binding domain
Aminotran_3	PF00202.21	406	TARA_ION_MAG_00012_000000000003_9	-	444	3.6e-107	358.5	0.0	1	1	2.6e-111	4.6e-107	358.2	0.0	8	403	58	437	52	440	0.95	Aminotransferase class-III
IF2_N	PF04760.15	54	TARA_ION_MAG_00012_000000000004_4	-	97	1.1e-07	31.6	0.1	1	1	6.1e-12	1.1e-07	31.6	0.1	3	52	4	52	2	54	0.94	Translation initiation factor IF-2, N-terminal region
DUF2130	PF09903.9	257	TARA_ION_MAG_00012_000000000004_5	-	436	2.9e-86	288.9	17.5	1	1	1.6e-90	2.9e-86	288.9	17.5	2	256	161	419	160	420	0.99	Uncharacterized protein conserved in bacteria (DUF2130)
FAD_binding_7	PF03441.14	202	TARA_ION_MAG_00012_000000000004_12	-	508	1.1e-54	185.0	0.2	1	1	2e-58	1.8e-54	184.3	0.2	3	199	261	453	259	456	0.94	FAD binding domain of DNA photolyase
DNA_photolyase	PF00875.18	164	TARA_ION_MAG_00012_000000000004_12	-	508	4.6e-26	91.8	0.1	1	1	8.8e-29	7.9e-25	87.8	0.1	2	123	9	130	8	144	0.89	DNA photolyase
PetN	PF03742.14	29	TARA_ION_MAG_00012_000000000004_18	-	34	1.5e-18	66.3	3.9	1	1	9.4e-23	1.7e-18	66.2	3.9	1	29	1	28	1	28	0.96	PetN
ThylakoidFormat	PF11264.8	216	TARA_ION_MAG_00012_000000000004_19	-	203	2.3e-51	174.6	6.1	1	1	3e-54	5.3e-50	170.1	6.1	1	214	6	202	6	202	0.96	Thylakoid formation protein
CLP_protease	PF00574.23	182	TARA_ION_MAG_00012_000000000004_20	-	175	7.4e-73	244.3	0.0	1	1	4.7e-77	8.3e-73	244.1	0.0	3	165	12	174	9	175	0.98	Clp protease
HSP70	PF00012.20	599	TARA_ION_MAG_00012_000000000005_1	-	666	3.5e-219	729.0	0.0	1	1	4.6e-223	4.1e-219	728.7	0.0	1	590	4	594	4	602	0.98	Hsp70 protein
DnaJ	PF00226.31	63	TARA_ION_MAG_00012_000000000005_2	-	309	7.1e-20	70.9	0.3	1	1	2.3e-23	2.1e-19	69.4	0.3	1	61	14	74	14	75	0.96	DnaJ domain
DUF3110	PF11360.8	84	TARA_ION_MAG_00012_000000000005_3	-	130	8.6e-34	115.6	0.1	1	1	6e-38	1.1e-33	115.3	0.1	1	83	3	94	3	95	0.96	Protein of unknown function (DUF3110)
Pro_isomerase	PF00160.21	158	TARA_ION_MAG_00012_000000000005_4	-	146	7.8e-40	136.7	0.2	1	1	4.9e-44	8.9e-40	136.5	0.2	2	141	4	137	3	144	0.88	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
DHBP_synthase	PF00926.19	192	TARA_ION_MAG_00012_000000000005_5	-	574	1.2e-82	276.1	0.0	1	1	1.9e-86	1.7e-82	275.6	0.0	2	192	28	220	27	220	0.98	3,4-dihydroxy-2-butanone 4-phosphate synthase
GTP_cyclohydro2	PF00925.20	163	TARA_ION_MAG_00012_000000000005_5	-	574	1.4e-72	242.6	0.0	1	1	5.4e-76	4.8e-72	240.9	0.0	4	163	232	396	229	396	0.97	GTP cyclohydrolase II
Semialdhyde_dh	PF01118.24	121	TARA_ION_MAG_00012_000000000005_6	-	352	3.8e-32	111.3	0.0	1	1	6.5e-36	5.9e-32	110.7	0.0	1	120	2	145	2	146	0.97	Semialdehyde dehydrogenase, NAD binding domain
Formyl_trans_N	PF00551.19	181	TARA_ION_MAG_00012_000000000005_7	-	219	1.1e-50	171.9	0.0	1	1	7.1e-55	1.3e-50	171.7	0.0	2	181	23	202	22	202	0.99	Formyl transferase
PGI	PF00342.19	486	TARA_ION_MAG_00012_000000000005_8	-	535	3.5e-65	220.5	0.1	1	2	6.8e-58	1.2e-53	182.4	0.0	1	375	33	402	33	411	0.87	Phosphoglucose isomerase
tRNA-synt_1	PF00133.22	602	TARA_ION_MAG_00012_000000000005_9	-	855	6e-70	236.2	15.2	1	3	9.1e-49	4.1e-45	154.1	12.8	2	344	24	409	23	411	0.88	tRNA synthetases class I (I, L, M and V)
tRNA-synt_1_2	PF13603.6	185	TARA_ION_MAG_00012_000000000005_9	-	855	6.9e-60	201.7	1.7	1	1	3.4e-63	1.5e-59	200.6	1.7	1	182	233	409	233	411	0.91	Leucyl-tRNA synthetase, Domain 2
Anticodon_1	PF08264.13	152	TARA_ION_MAG_00012_000000000005_9	-	855	2.2e-23	82.9	3.1	1	1	4.9e-27	2.2e-23	82.9	3.1	2	144	697	813	696	822	0.87	Anticodon-binding domain of tRNA
DAP_epimerase	PF01678.19	121	TARA_ION_MAG_00012_000000000005_10	-	285	6.1e-57	191.0	0.0	1	2	2.5e-32	4.4e-28	97.9	0.0	1	119	6	128	6	129	0.91	Diaminopimelate epimerase
DAP_epimerase	PF01678.19	121	TARA_ION_MAG_00012_000000000005_10	-	285	6.1e-57	191.0	0.0	2	2	2.6e-30	4.7e-26	91.3	0.0	1	120	160	274	160	275	0.95	Diaminopimelate epimerase
Aminotran_5	PF00266.19	371	TARA_ION_MAG_00012_000000000005_11	-	391	1.6e-66	224.8	0.0	1	1	1.1e-70	2e-66	224.5	0.0	1	371	6	379	6	379	0.92	Aminotransferase class-V
DUF1995	PF09353.10	197	TARA_ION_MAG_00012_000000000005_12	-	211	3.2e-21	76.3	0.0	1	1	2.1e-25	3.7e-21	76.1	0.0	12	195	16	205	5	206	0.81	Domain of unknown function (DUF1995)
Fer4	PF00037.27	24	TARA_ION_MAG_00012_000000000006_1	-	82	1.8e-13	49.7	12.0	1	2	1.7e-09	3.3e-06	26.7	2.8	2	23	5	26	4	27	0.89	4Fe-4S binding domain
Fer4_7	PF12838.7	52	TARA_ION_MAG_00012_000000000006_1	-	82	1.7e-09	38.1	13.7	1	1	1.4e-12	2.7e-09	37.4	13.8	1	51	10	61	10	62	0.80	4Fe-4S dicluster domain
Fer4_10	PF13237.6	56	TARA_ION_MAG_00012_000000000006_1	-	82	1.4e-09	37.9	25.9	1	1	5.3e-10	1.1e-06	28.7	16.3	2	56	4	59	3	59	0.94	4Fe-4S dicluster domain
Fer4_4	PF12800.7	17	TARA_ION_MAG_00012_000000000006_1	-	82	2.9e-09	36.7	14.2	2	2	2.7e-07	0.00054	20.3	3.0	2	16	46	60	45	64	0.91	4Fe-4S binding domain
SIS	PF01380.22	131	TARA_ION_MAG_00012_000000000006_2	-	632	1.9e-42	144.2	0.0	2	2	1.2e-24	7e-21	74.4	0.0	3	130	487	613	485	614	0.90	SIS domain
GATase_7	PF13537.6	123	TARA_ION_MAG_00012_000000000006_2	-	632	5.1e-14	52.2	0.0	1	1	2e-17	1.2e-13	51.0	0.0	11	122	85	210	73	211	0.91	Glutamine amidotransferase domain
PRC	PF05239.16	79	TARA_ION_MAG_00012_000000000006_3	-	178	2.2e-10	40.5	0.5	1	1	1.4e-13	1.2e-09	38.0	0.2	2	78	101	174	100	175	0.93	PRC-barrel domain
NdhS	PF11623.8	52	TARA_ION_MAG_00012_000000000006_4	-	62	5.3e-27	93.2	0.1	1	1	3.3e-31	5.9e-27	93.1	0.1	1	51	8	58	8	59	0.98	NAD(P)H dehydrogenase subunit S
Ribonucleas_3_3	PF14622.6	128	TARA_ION_MAG_00012_000000000006_5	-	252	1.1e-19	70.8	0.3	1	1	3.6e-23	2.2e-19	69.9	0.3	3	108	40	143	38	153	0.89	Ribonuclease-III-like
dsrm	PF00035.26	67	TARA_ION_MAG_00012_000000000006_5	-	252	1.3e-11	45.0	0.5	1	1	4.4e-15	2.6e-11	44.1	0.5	1	66	176	242	176	243	0.91	Double-stranded RNA binding motif
Phosphorylase	PF00343.20	711	TARA_ION_MAG_00012_000000000006_8	-	869	0	1023.3	0.0	1	1	0	0	1023.1	0.0	7	711	145	851	138	851	0.99	Carbohydrate phosphorylase
Na_H_Exchanger	PF00999.21	381	TARA_ION_MAG_00012_000000000006_9	-	456	3e-60	204.0	53.4	1	1	2.1e-64	3.8e-60	203.7	53.4	3	380	26	433	22	434	0.90	Sodium/hydrogen exchanger family
Abhydrolase_6	PF12697.7	220	TARA_ION_MAG_00012_000000000006_10	-	300	2.1e-21	77.5	0.0	1	1	4.2e-25	2.5e-21	77.3	0.0	1	219	38	290	38	291	0.57	Alpha/beta hydrolase family
Hydrolase_4	PF12146.8	239	TARA_ION_MAG_00012_000000000006_10	-	300	1.7e-15	56.9	0.0	1	1	2.4e-18	1.4e-14	53.9	0.0	3	235	34	281	32	284	0.82	Serine aminopeptidase, S33
Aldose_epim	PF01263.20	301	TARA_ION_MAG_00012_000000000006_11	-	282	4.7e-20	72.1	0.0	1	1	3.5e-24	6.2e-20	71.7	0.0	15	278	24	254	14	276	0.77	Aldose 1-epimerase
SBD_N	PF07005.11	228	TARA_ION_MAG_00012_000000000006_12	-	450	4.4e-45	154.2	0.0	1	1	6.2e-49	5.6e-45	153.8	0.0	1	227	3	240	3	241	0.82	Sugar-binding N-terminal domain
NBD_C	PF17042.5	170	TARA_ION_MAG_00012_000000000006_12	-	450	4.8e-23	82.5	0.0	1	1	1.7e-25	1.5e-21	77.6	0.0	1	168	270	437	270	439	0.80	Nucleotide-binding C-terminal domain
Iso_dh	PF00180.20	348	TARA_ION_MAG_00012_000000000006_13	-	476	7.3e-97	324.6	0.0	1	1	2.6e-100	4.7e-96	322.0	0.0	2	348	31	470	30	470	0.97	Isocitrate/isopropylmalate dehydrogenase
Heme_oxygenase	PF01126.20	205	TARA_ION_MAG_00012_000000000006_15	-	237	2.2e-75	253.0	1.7	1	1	1.4e-79	2.5e-75	252.8	1.7	2	205	4	208	3	208	0.98	Heme oxygenase
Fe_bilin_red	PF05996.12	228	TARA_ION_MAG_00012_000000000006_16	-	236	2.8e-67	226.8	2.9	1	1	1.8e-71	3.2e-67	226.6	2.9	4	227	9	228	6	229	0.97	Ferredoxin-dependent bilin reductase
Fe_bilin_red	PF05996.12	228	TARA_ION_MAG_00012_000000000006_17	-	254	7.3e-46	156.7	0.5	1	1	4.9e-50	8.8e-46	156.4	0.5	15	228	32	251	20	251	0.92	Ferredoxin-dependent bilin reductase
LMWPc	PF01451.21	142	TARA_ION_MAG_00012_000000000006_18	-	158	7.5e-37	126.9	0.0	1	1	4.8e-41	8.5e-37	126.7	0.0	1	142	6	153	6	153	0.95	Low molecular weight phosphotyrosine protein phosphatase
Pantoate_ligase	PF02569.15	266	TARA_ION_MAG_00012_000000000006_19	-	512	2.9e-76	256.2	0.1	1	1	1.2e-79	4.3e-76	255.6	0.1	3	265	6	275	3	276	0.88	Pantoate-beta-alanine ligase
Cytidylate_kin	PF02224.18	211	TARA_ION_MAG_00012_000000000006_19	-	512	1.9e-68	230.4	1.3	1	1	8.1e-72	2.9e-68	229.7	1.3	1	210	284	499	284	500	0.99	Cytidylate kinase
AIRS_C	PF02769.22	156	TARA_ION_MAG_00012_000000000006_20	-	348	5.6e-19	68.8	0.0	1	1	1.1e-22	1e-18	68.0	0.0	2	147	172	332	171	337	0.90	AIR synthase related protein, C-terminal domain
HSP70	PF00012.20	599	TARA_ION_MAG_00012_000000000007_1	-	358	9.9e-124	413.7	8.4	1	1	6.3e-128	1.1e-123	413.5	8.4	278	599	1	321	1	321	0.99	Hsp70 protein
DAO	PF01266.24	352	TARA_ION_MAG_00012_000000000007_2	-	358	8.1e-28	98.0	0.0	1	1	5.7e-32	1e-27	97.7	0.0	2	349	13	349	12	351	0.76	FAD dependent oxidoreductase
Formyl_trans_N	PF00551.19	181	TARA_ION_MAG_00012_000000000007_3	-	285	1.3e-39	135.9	0.0	1	1	8.9e-44	1.6e-39	135.5	0.0	2	181	90	265	89	265	0.96	Formyl transferase
Voltage_CLC	PF00654.20	354	TARA_ION_MAG_00012_000000000007_4	-	454	3.4e-76	256.8	29.0	1	1	1.9e-80	3.4e-76	256.8	29.0	1	353	79	434	79	435	0.89	Voltage gated chloride channel
Aconitase_2_N	PF06434.13	204	TARA_ION_MAG_00012_000000000007_5	-	856	5.9e-90	300.4	0.0	1	1	1.6e-93	9.6e-90	299.7	0.0	3	204	177	381	175	381	0.97	Aconitate hydratase 2 N-terminus
Aconitase_B_N	PF11791.8	154	TARA_ION_MAG_00012_000000000007_5	-	856	1.6e-58	197.2	0.0	1	1	4.5e-62	2.7e-58	196.4	0.0	1	154	10	163	10	163	0.99	Aconitate B N-terminal domain
Aconitase	PF00330.20	461	TARA_ION_MAG_00012_000000000007_5	-	856	6.6e-42	144.1	0.0	1	1	5.3e-44	3.1e-40	138.5	0.0	100	461	469	816	405	816	0.82	Aconitase family (aconitate hydratase)
DAHP_synth_1	PF00793.20	275	TARA_ION_MAG_00012_000000000007_6	-	358	1.1e-98	329.5	0.1	1	1	7.5e-103	1.3e-98	329.2	0.1	8	274	48	347	37	348	0.97	DAHP synthetase I family
Sigma70_r2	PF04542.14	71	TARA_ION_MAG_00012_000000000007_8	-	342	2.7e-20	71.9	0.2	1	1	1.3e-23	5.8e-20	70.8	0.0	2	69	112	179	111	181	0.94	Sigma-70 region 2
Sigma70_r4	PF04545.16	50	TARA_ION_MAG_00012_000000000007_8	-	342	1.7e-19	69.1	1.5	1	1	8.6e-23	3.9e-19	67.9	1.5	1	49	280	332	280	333	0.99	Sigma-70, region 4
Sigma70_r1_2	PF00140.20	34	TARA_ION_MAG_00012_000000000007_8	-	342	7.8e-12	45.0	0.0	1	1	4.9e-15	2.2e-11	43.6	0.0	1	33	52	84	52	85	0.95	Sigma-70 factor, region 1.2
PP_kinase_C_1	PF17941.1	167	TARA_ION_MAG_00012_000000000007_9	-	695	3.9e-72	241.2	1.5	1	1	4.3e-75	1.6e-71	239.3	0.1	1	166	345	511	345	512	0.98	Polyphosphate kinase C-terminal domain 1
PP_kinase_C	PF13090.6	172	TARA_ION_MAG_00012_000000000007_9	-	695	3.1e-71	238.4	0.3	1	1	1.9e-73	6.7e-70	234.0	0.1	1	169	518	686	518	688	0.98	Polyphosphate kinase C-terminal domain 2
PP_kinase	PF02503.17	202	TARA_ION_MAG_00012_000000000007_9	-	695	1.2e-59	201.3	0.2	1	1	6.4e-63	2.3e-59	200.4	0.2	5	193	128	321	125	329	0.95	Polyphosphate kinase middle domain
PP_kinase_N	PF13089.6	107	TARA_ION_MAG_00012_000000000007_9	-	695	1.2e-33	115.6	1.8	1	1	3.4e-37	1.2e-33	115.6	1.8	1	106	10	115	10	116	0.99	Polyphosphate kinase N-terminal domain
MFS_1	PF07690.16	353	TARA_ION_MAG_00012_000000000007_10	-	418	8e-56	189.5	51.7	1	2	6.3e-53	2.8e-49	167.9	34.0	3	353	19	377	15	377	0.86	Major Facilitator Superfamily
MFS_2	PF13347.6	427	TARA_ION_MAG_00012_000000000007_10	-	418	3e-14	52.4	17.0	1	1	2.9e-14	1.3e-10	40.5	8.8	142	339	149	349	140	357	0.84	MFS/sugar transport protein
MFS_1_like	PF12832.7	385	TARA_ION_MAG_00012_000000000007_10	-	418	7.5e-10	38.2	20.4	1	1	8.6e-13	3.8e-09	35.9	20.4	18	383	31	393	27	395	0.75	MFS_1 like family
TP_methylase	PF00590.20	213	TARA_ION_MAG_00012_000000000007_11	-	259	8.5e-44	150.0	0.0	1	1	5.4e-48	9.7e-44	149.8	0.0	2	212	4	215	3	216	0.90	Tetrapyrrole (Corrin/Porphyrin) Methylases
Aminotran_4	PF01063.19	223	TARA_ION_MAG_00012_000000000007_12	-	276	1.5e-38	132.9	0.3	1	1	9.3e-43	1.7e-38	132.8	0.3	1	214	32	247	32	258	0.87	Amino-transferase class IV
Chorismate_bind	PF00425.18	258	TARA_ION_MAG_00012_000000000007_13	-	440	7.2e-79	265.0	0.0	1	1	1.5e-82	1.3e-78	264.1	0.0	3	258	171	430	170	430	0.97	chorismate binding enzyme
QueC	PF06508.13	210	TARA_ION_MAG_00012_000000000007_14	-	223	1.6e-66	223.8	0.0	1	1	3.1e-70	1.8e-66	223.6	0.0	1	209	7	217	7	218	0.98	Queuosine biosynthesis protein QueC
Fer4_14	PF13394.6	118	TARA_ION_MAG_00012_000000000007_15	-	220	5.3e-20	71.7	0.1	1	1	2.1e-23	1.2e-19	70.5	0.1	1	95	26	119	26	131	0.85	4Fe-4S single cluster domain
Fer4_12	PF13353.6	139	TARA_ION_MAG_00012_000000000007_15	-	220	4.2e-09	36.8	1.1	1	1	8.5e-13	5.1e-09	36.5	0.1	2	85	15	99	14	113	0.82	4Fe-4S single cluster domain
CTP_synth_N	PF06418.14	265	TARA_ION_MAG_00012_000000000007_16	-	537	1.4e-125	418.0	0.2	1	1	3e-129	1.8e-125	417.6	0.2	1	265	3	267	3	267	0.99	CTP synthase N-terminus
GATase	PF00117.28	190	TARA_ION_MAG_00012_000000000007_16	-	537	1.5e-54	184.7	0.0	1	1	3.7e-58	2.2e-54	184.1	0.0	2	189	302	526	301	527	0.93	Glutamine amidotransferase class-I
tRNA-synt_2	PF00152.20	314	TARA_ION_MAG_00012_000000000007_17	-	603	1.1e-107	359.7	0.0	1	1	2.4e-111	1.4e-107	359.4	0.0	2	314	124	573	123	573	0.99	tRNA synthetases class II (D, K and N)
GAD	PF02938.14	95	TARA_ION_MAG_00012_000000000007_17	-	603	1.3e-22	79.9	0.1	1	1	6.5e-26	3.9e-22	78.3	0.1	1	95	314	413	314	413	0.92	GAD domain
GCV_T	PF01571.21	257	TARA_ION_MAG_00012_000000000007_18	-	371	2.4e-71	240.1	0.0	1	1	3.4e-75	3e-71	239.8	0.0	4	257	11	264	8	264	0.96	Aminomethyltransferase folate-binding domain
GCV_T_C	PF08669.11	80	TARA_ION_MAG_00012_000000000007_18	-	371	1.2e-20	73.2	0.0	1	1	2.1e-24	1.9e-20	72.6	0.0	1	80	289	367	289	367	0.97	Glycine cleavage T-protein C-terminal barrel domain
